Timestamp;Angle_Jscope;AngleSpeed_Jscope;Current_Jscope
1242090;212;-3000;317000
1244084;212;0;318000
1246087;212;0;320000
1248098;212;0;322000
1250089;215;0;323000
1252085;215;0;325000
1254082;215;0;327000
1256087;215;0;329000
1258100;215;0;330000
1260084;215;0;332000
1262089;215;0;334000
1264085;215;0;336000
1266083;215;-3000;337000
1268099;215;-3000;339000
1270083;215;0;341000
1272088;215;-3000;343000
1274085;215;-3000;344000
1276089;215;0;346000
1278099;215;0;348000
1280083;217;0;350000
1282085;217;0;351000
1284087;217;0;353000
1286090;217;0;355000
1288103;217;-3000;357000
1290086;217;-3000;359000
1292088;217;0;360000
1294084;217;0;362000
1296086;217;-3000;364000
1298089;217;0;366000
1300103;219;0;368000
1302082;219;0;369000
1304085;219;0;371000
1306088;219;0;373000
1308083;219;-3000;375000
1310100;222;0;377000
1312088;222;2000;378000
1314084;222;0;380000
1316087;222;-3000;382000
1318083;222;0;384000
1320097;222;-3000;386000
1322087;222;0;388000
1324083;222;0;390000
1326088;222;-3000;391000
1328085;222;-3000;393000
1330099;222;0;395000
1332088;222;0;397000
1334085;222;-3000;399000
1336089;222;0;401000
1338086;222;0;403000
1340100;222;-3000;404000
1342089;222;0;406000
1344085;224;0;408000
1346083;224;0;410000
1348084;224;0;412000
1350099;224;0;414000
1352086;224;0;416000
1354090;224;-3000;418000
1356084;224;-3000;419000
1358087;224;-3000;421000
1360153;226;0;423000
1362088;226;0;425000
1364083;226;0;427000
1366086;226;0;429000
1368089;226;0;431000
1370087;226;-3000;433000
1372103;228;0;435000
1374083;228;0;437000
1376085;228;0;439000
1378089;231;0;440000
1380086;231;0;442000
1382317;231;0;444000
1384084;231;0;446000
1386089;231;-3000;448000
1388086;231;0;450000
1390086;231;0;452000
1392082;231;-3000;454000
1394096;231;0;456000
1396085;231;0;458000
1398082;233;0;460000
1400089;233;0;462000
1402087;233;0;464000
1404103;233;0;466000
1406084;233;-3000;468000
1408089;233;-3000;470000
1410088;235;0;472000
1412085;235;0;473000
1414102;235;0;475000
1416089;235;0;477000
1418085;235;0;479000
1420082;238;0;481000
1422085;238;0;483000
1424100;238;0;485000
1426087;238;0;487000
1428082;240;0;489000
1430088;240;0;491000
1432083;240;0;493000
1434104;240;0;495000
1436083;242;0;497000
1438086;242;0;499000
1440084;245;2000;501000
1442087;247;2000;503000
1444102;247;0;505000
1446090;247;-3000;507000
1448086;249;0;509000
1450086;247;0;511000
1452082;249;0;513000
1454100;249;0;515000
1456089;249;0;517000
1458086;249;0;519000
1460086;249;0;521000
1462082;252;0;523000
1464099;252;0;525000
1466089;254;0;527000
1468086;254;2000;529000
1470085;254;0;531000
1472082;256;0;533000
1474100;256;2000;535000
1476089;256;0;537000
1478084;259;0;539000
1480088;259;0;541000
1482084;259;0;543000
1484097;259;0;545000
1486085;261;0;547000
1488087;261;0;549000
1490085;261;0;551000
1492088;261;0;553000
1494103;263;0;555000
1496082;263;0;557000
1498086;265;0;559000
1500083;265;0;561000
1502086;265;0;563000
1504102;268;0;565000
1506090;268;2000;567000
1508084;268;0;570000
1510082;270;0;572000
1512085;270;2000;574000
1514100;272;0;576000
1516090;272;0;578000
1518086;272;0;580000
1520085;275;0;582000
1522083;275;2000;584000
1524101;277;0;586000
1526083;277;2000;588000
1528087;279;0;590000
1530087;279;0;592000
1532084;279;2000;594000
1534100;282;0;596000
1536089;284;0;598000
1538086;284;0;600000
1540086;286;0;602000
1542083;286;0;604000
1544122;289;2000;606000
1546086;289;2000;608000
1548088;291;0;610000
1550086;291;0;612000
1552089;293;0;614000
1554084;293;2000;616000
1556102;296;2000;618000
1558089;298;0;620000
1560087;300;2000;622000
1562082;302;2000;624000
1564085;305;2000;626000
1566100;307;2000;628000
1568088;309;4000;631000
1570086;314;4000;633000
1572088;321;4000;635000
1574084;326;6000;637000
1576104;333;8000;639000
1578084;342;10000;641000
1580083;353;14000;643000
1582088;370;18000;645000
1584085;390;23000;647000
1586098;416;31000;649000
1588087;448;41000;651000
1590086;483;50000;653000
1592083;525;56000;655000
1594114;566;60000;657000
1596100;626;71000;659000
1598089;703;92000;661000
1600089;804;121000;663000
1602086;922;156000;665000
1604083;1047;186000;667000
1606100;1156;190000;669000
1608089;1251;169000;671000
1610085;1359;154000;673000
1612088;1508;175000;675000
1614083;1679;230000;677000
1616099;1815;255000;679000
1618087;1928;221000;681000
1620084;2074;190000;683000
1622087;2280;234000;685000
1624090;2477;309000;687000
1626098;2625;301000;689000
1628085;2798;249000;691000
1630083;3029;282000;693000
1632085;3214;339000;695000
1634088;3381;299000;697000
1636100;3631;290000;699000
1638087;3862;370000;701000
1640084;4045;355000;703000
1642088;4339;328000;705000
1644083;4605;426000;707000
1646110;4803;414000;709000
1648083;5081;353000;711000
1650083;5303;397000;713000
1652088;5560;374000;715000
1654084;5886;420000;717000
1656100;6113;464000;719000
1658090;6439;416000;721000
1660089;6732;472000;723000
1662086;7021;468000;725000
1664083;7301;462000;727000
1666100;7572;441000;729000
1668089;7926;456000;731000
1670089;8213;506000;733000
1672085;8583;512000;735000
1674082;8851;512000;737000
1676101;9295;516000;739000
1678088;9621;600000;741000
1680086;9950;583000;742000
1682089;10218;472000;744000
1684084;10653;506000;746000
1686113;11016;594000;748000
1688085;11398;629000;750000
1690083;11738;569000;752000
1692086;12131;567000;754000
1694088;12577;625000;756000
1696114;12910;631000;758000
1698086;13364;631000;760000
1700084;13752;623000;762000
1702087;14141;671000;764000
1704089;14564;613000;766000
1706115;14971;625000;767000
1708087;15436;721000;769000
1710085;15848;659000;771000
1712082;16262;663000;773000
1714087;16770;730000;775000
1716116;17203;692000;777000
1718089;17682;738000;779000
1720089;18174;795000;781000
1722086;18611;705000;783000
1724083;19044;690000;784000
1726116;19560;778000;786000
1728082;20089;763000;788000
1730082;20584;765000;790000
1732087;21024;809000;792000
1734083;21567;795000;794000
1736100;22088;772000;796000
1738090;22604;784000;797000
1740088;23103;839000;799000
1742089;23681;876000;801000
1744084;24206;837000;803000
1746118;24755;788000;805000
1748082;25275;849000;807000
1750088;25837;914000;808000
1752083;26355;889000;810000
1754086;26936;824000;812000
1756119;27519;837000;814000
1758083;28083;887000;816000
1760088;28696;973000;817000
1762084;29168;950000;819000
1764086;29806;860000;821000
1766120;30407;935000;823000
1768084;30999;918000;824000
1770082;31640;910000;826000
1772085;32228;960000;828000
1774088;32850;977000;830000
1776122;33412;975000;831000
1778085;34050;960000;833000
1780084;34652;1002000;835000
1782089;35278;991000;837000
1784086;35926;1000000;838000
1786083;36611;1021000;840000
1788097;37247;1046000;842000
1790089;37864;1017000;844000
1792086;38544;983000;845000
1794083;39233;1044000;847000
1796087;39881;1067000;849000
1798101;40566;1050000;850000
1800085;41232;1050000;852000
